iindex,Timestep_0,Day_0,Month_0,Hour_0,Potential_Temperature_0,Mixing_Depth_0,Specific_Humidity_0,Terrain_Altitude_0,Solar_Radiation_0,Latitude_0,Longitude_0,AltP_meters_0,Temperature_C_0,DateTime_0,Timestep_-24,Day_-24,Month_-24,Hour_-24,Potential_Temperature_-24,Mixing_Depth_-24,Specific_Humidity_-24,Terrain_Altitude_-24,Solar_Radiation_-24,Latitude_-24,Longitude_-24,AltP_meters_-24,Temperature_C_-24,Cumulative_Dist_-24,bearings_from_origin_-24,DateTime_-24,DateTime,Year,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,Methane (ppm),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E_B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E_MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS)
0,0,21,7,19,316.8,1359.4,3.5,920.8,583,35,-118.943,1874.8,16.95,7/21/2009 19:00,-24,20,7,19,315.8,1102.6,4.1,244.2,569.3,37.005,-120.745,2543.6,16.25,326589.619,-0.619490349,7/20/2009 19:00,7/21/2009 19:21,2009,19:22:35,40015.80669,40015.80735,35,-118.9433333,6151,1874.8248,1.947,194.7,,,518,,,532,237,76.4,16.5,4.171,3.4,,53.6,209,23.8,23.7,13.8,9.23,87.5,49.8,0.2,2.38,528,9.81,0.146,0.67,0.18,,,,,10.93,3.89,4.05,0.65,1.97,0.39,0.625,,410,11,29,61,12,7,8,,,,,10,4,,,,,,,,,,3,,,,,,,,,,4,,,,,,,10,,,,8,4,,,,,,,,,,24,92,116,,
1,0,21,7,19,314.7,1253.2,2.6,868.9,582.1,35.082,-119.101,1149.7,22.65,7/21/2009 19:00,-24,20,7,19,314.5,725.7,1.9,145.1,568.2,37.564,-121.27,1859.6,22.65,381231.2348,-0.602341086,7/20/2009 19:00,7/21/2009 19:24,2009,19:24:57,40015.80833,40015.80899,35.08166667,-119.101,3772,1149.7056,1.808,180.8,,,519,,,542,244,77.8,16.9,4.343,4,,53.9,211,24.5,25.1,14.85,9.09,89.8,49.7,0.21,2.72,520,9.66,0.156,0.61,0.18,,,,,7.69,3.37,3.34,0.5,2.41,0.61,1.105,,523,23,43,131,10,23,65,,,,,143,96,,,,,,,,,,17,7,,,,5,,37,8,4,8,,,,5,,,4,,,,11,8,,,,,,,,4,,32,124,171,3,
2,0,21,7,19,312.6,1230.1,3,805.8,580.7,35.17,-119.233,487.7,27.65,7/21/2009 19:00,-24,20,7,19,304.5,538.3,4.8,133.1,564.9,37.632,-121.639,414,27.15,391241.8063,-0.654146507,7/20/2009 19:00,7/21/2009 19:26,2009,19:26:57,40015.80972,40015.81038,35.17,-119.2333333,1600,487.68,1.94,194,,,495,14,,533,239,76.3,16.7,4.6,8.2,,63.8,223,24.9,26.3,24,9.18,88.7,56,0.39,6.3,501,12.34,0.421,0.67,0.3,,,,,11.76,8.66,16.09,2.17,17.4,2.54,4.975,,1596,64,117,992,7,180,355,,,,,145,109,,4,,,,,,,,22,10,3,,,10,5,60,16,11,15,,,,,12,,11,,,,21,24,,,,,,,,,,5,9,6,,
3,0,21,7,19,311.7,1187.3,3.6,698,578.8,35.347,-119.382,372.2,28.95,7/21/2009 19:00,-24,20,7,19,303.9,454,5.2,134.4,563.3,37.662,-121.825,419.7,26.45,379056.9301,-0.690901571,7/20/2009 19:00,7/21/2009 19:29,2009,19:30:10,40015.81198,40015.81262,35.34666667,-119.3816667,1221,372.1608,1.944,194.4,,,505,11.9,,535,242,77.4,16.9,4.448,7.2,,65.2,229,25,26.9,22.35,9.32,89.9,58.6,0.32,5.04,523,12.39,0.399,0.65,0.3,,,,,10.59,7.86,11.37,1.7,9.44,1.57,2.94,,1037,65,107,519,8,94,143,,,,,95,55,,,,,,,,,,13,7,,,,5,,49,6,11,12,,,,,10,,4,,,,19,24,,,,,,,,,,8,19,19,,
4,0,21,7,19,311.4,1165.8,3.8,645.3,578,35.438,-119.433,371.9,29.25,7/21/2009 19:00,-24,20,7,19,307.2,378.3,2.7,122.3,559.2,37.831,-122.122,683.4,27.25,398680.1619,-0.719883703,7/20/2009 19:00,7/21/2009 19:31,2009,19:31:53,40015.81319,40015.81381,35.43833333,-119.4333333,1220,371.856,1.922,192.2,,,487,17.4,,538,240,76.6,16.7,4.448,4,,59.2,222,23.6,26.5,27.9,9.25,89.5,66.5,0.28,4.21,503,11.44,0.375,0.67,0.26,,,,,10.8,6.71,8.35,1.28,5.63,0.95,1.745,,710,45,94,252,7,40,66,,,,,59,30,,,,,,,,,,9,4,,,,8,,42,5,7,10,,,,5,6,,,,,,15,17,,,,,,,,,,,9,6,,5
5,0,21,7,19,311.3,1138.6,4.1,594.1,577.6,35.567,-119.433,369.4,29.65,7/21/2009 19:00,-24,20,7,19,309.4,365,1.5,102.4,557.1,37.908,-122.24,880.4,27.65,398813.6887,-0.750942839,7/20/2009 19:00,7/21/2009 19:33,2009,19:33:56,40015.81458,40015.81523,35.56666667,-119.4333333,1212,369.4176,2.008,200.8,,,502,13.2,,530,243,77.4,16.6,4.467,3.5,,63.8,267,25.6,27.7,22.05,9.42,91,60.3,0.34,4.94,517,11.64,0.421,0.69,0.28,,,,,11.42,8,10.38,1.63,8.04,1.1,2.245,,742,53,109,344,9,66,112,,,,,72,39,,,,,,,,,,11,4,,,,8,,48,5,29,13,,,,,10,,,,,,19,19,,,,,,,,,,8,18,16,3,4
6,0,21,7,19,311.2,1119.1,4.3,554.9,577.1,35.657,-119.442,369.1,29.85,7/21/2009 19:00,-24,20,7,19,310.2,354,1.8,91.7,555.9,37.914,-122.298,1012.6,27.25,394774.4289,-0.777276884,7/20/2009 19:00,7/21/2009 19:34,2009,19:35:08,40015.81563,40015.81606,35.65666667,-119.4416667,1211,369.1128,1.863,186.3,,,494,7.7,,539,241,77.6,16.9,4.438,3.4,,63.1,228,24.8,27.5,21.3,9.27,90.1,57.4,0.28,4.88,515,11.83,0.43,0.68,0.28,,,,,11.04,7.26,9.31,1.43,6.44,1.02,1.86,,779,50,110,301,6,45,69,,,,,59,28,,,,,,,,,,8,5,,,,7,,36,4,6,8,,,,,8,,,,,,19,18,,,,,,,,,,7,18,18,,
7,0,21,7,19,311,1097.4,4.5,511.3,576.7,35.757,-119.45,370,30.15,7/21/2009 19:00,-24,20,7,19,311.1,341.3,2.2,80.9,554.5,37.904,-122.357,1156.4,26.85,389486.8687,-0.810490106,7/20/2009 19:00,7/21/2009 19:36,2009,19:36:38,40015.81667,40015.81711,35.75666667,-119.45,1214,370.0272,1.885,188.5,,,491,8.3,,531,240,77,16.6,4.324,3.3,,59.3,220,24.3,26.1,34.95,9.2,89.3,60.3,0.25,4.36,505,10.9,0.37,0.65,0.26,,,,,10.57,6.53,7.84,1.27,4.99,0.78,1.47,,655,46,91,241,8,34,46,,,,,46,21,,,,,,,,,,8,4,,,,7,,29,,6,9,,,,,6,,,,,,15,13,,,,,,,,,,3,8,6,,
8,0,21,7,19,310.9,1075.9,4.7,468,576.2,35.857,-119.457,369.1,30.45,7/21/2009 19:00,-24,20,7,19,311.5,329.8,2.7,71,553.1,37.896,-122.411,1252.9,26.45,384174.3833,-0.843529249,7/20/2009 19:00,7/21/2009 19:37,2009,19:38:08,40015.81771,40015.81815,35.85666667,-119.4566667,1211,369.1128,1.889,188.9,,,510,6.4,,544,244,78,16.5,4.429,3.7,,57.6,225,25.4,26.6,18.15,9.28,90.3,57.7,0.23,3.81,523,10.87,0.295,0.63,0.26,,,,,9.01,5.37,6.09,0.99,3.87,0.53,1.065,,573,38,70,165,6,22,39,,,,,39,16,,6,,,,,,,,7,4,,,,,,37,,26,7,,,,10,5,,,,,,13,10,,,,,,,,,,4,13,9,,
9,0,21,7,19,310.8,1054.6,4.9,430,575.9,35.958,-119.45,370.9,30.75,7/21/2009 19:00,-24,20,7,19,311.7,322.9,3,64.6,552.3,37.895,-122.446,1305.2,26.15,378902.7475,-0.875158894,7/20/2009 19:00,7/21/2009 19:39,2009,19:39:38,40015.81875,40015.81919,35.95833333,-119.45,1217,370.9416,1.88,188,,,496,11.7,,537,242,77.7,16.8,4.371,3.4,,59.7,223,25.3,27,21,9.26,90.2,57.7,0.26,4.23,511,10.57,0.409,0.66,0.3,,,,,10.64,6.9,8.5,1.37,5.56,0.73,1.49,,633,54,100,237,7,28,50,,,,,56,21,,,,,,,,,,7,4,,,,7,,37,4,6,8,,,,,6,,,,,,16,15,,,,,,,,,,4,10,8,,
